sector,season,quart_sq,square,type,NAMEBS,lat,long,YpRO,YpseroRO,Ypall,accuracy_GPS,occ,alt_true,am,af,ym,yf,flea,tick,ro,findex,tindex,tree,bsland_OK,bscode_OK,bscode_corrected,bscode_simple,bsland1_OK,bscode1_OK,Bscharact_all,X. gerbilli,X. hirtipes,X. conformis,E. oschanini,Ns. Laeviceps,Ns. turkmenicus,R. cedestis,Ms. hebes,Ct. dolichus,C. lamellifer,Ns. tersus,St. vlasovi,St. conspecta,Px. teretifrons,Ornithodoros,Haemaphysalis,Hyalomma,Rhipicephalus,Ixodes,others,Result of bacteriological analysis
7934,AU2011,21.3,21,C,bsq21b1,45.724383,75.210217,0,0,0,3,4,343,,,,1,17,0,1,17,0,0,alluvial,12C,12C,6all,C,12,12C,11,,,,,,,,1,5,,,,,,,,,,,
7934,AU2011,21.1,21,C,bsq21b10,45.7265,75.2113,0,0,0,4,3,346,,,1,,8,0,1,8,0,0,alluvial,34C,34C,2all,C,34,34C,8,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b11,45.7227,75.21045,,,,3,3,346,,,,,na,na,0,na,na,0,alluvial,34C,34C,2all,C,34,34C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b12,45.722467,75.21015,,,,3,2,346,,,,,na,na,0,na,na,0,alluvial,34C,34C,2all,C,34,34C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b13,45.722433,75.210583,,,,3,2,344,,,,,na,na,0,na,na,0,alluvial,34C,34C,2all,C,34,34C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.1,21,C,bsq21b14,45.7266,75.2129,0,0,0,4,3,344,,,,1,2,0,1,2,0,1,alluvial,34C,34C,2all,C,34,34C,,,,,,,,,,2,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b15,45.72245,75.21095,,,,3,2,344,,,,,na,na,0,na,na,0,alluvial,34C,34C,2all,C,34,34C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.2,21,C,bsq21b16,45.726583,75.215333,,,,4,2,344,,,,,na,na,0,na,na,0,alluvial,14C,4C,1all,C,14,14C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b17,45.72255,75.211417,,,,3,2,345,,,,,na,na,0,na,na,0,alluvial,34C,34C,2all,C,34,34C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b18,45.723067,75.211467,,,,3,2,345,,,,,na,na,0,na,na,0,alluvial,34C,34C,2all,C,34,34C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.2,21,C,bsq21b19,45.726567,75.215583,,,,4,2,344,,,,,na,na,0,na,na,0,alluvial,4C,4C,1all,C,4,4C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b2,45.724167,75.21035,0,0,0,3,4,344,,,1,,0,0,1,0,0,1,alluvial,12C,12C,6all,C,12,12C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b20,45.723383,75.21175,0,0,0,3,4,346,,,2,,7,0,2,3.5,0,0,alluvial,4C,4C,1all,C,4,4C,5,,,,,,,,,2,,,,,,,,,,,
7934,AU2011,21.2,21,C,bsq21b21,45.7265,75.215833,,,,4,1,344,,,,,na,na,0,na,na,0,alluvial,4C,4C,1all,C,4,4C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b22,45.723967,75.211117,0,0,0,3,4,345,1,1,1,,23,0,3,7.666666667,0,0,alluvial,124C,124C,5all,C,124,124C,14,,,,,,,,2,7,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b23,45.7241,75.210667,0,0,0,3,4,345,,,1,,0,0,1,0,0,0,alluvial,12C,12C,6all,C,12,12C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.2,21,C,bsq21b24,45.726417,75.216567,,,,4,3,347,,,,,na,na,0,na,na,0,alluvial,4C,4C,1all,C,4,4C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.1,21,C,bsq21b25,45.724683,75.211217,0,0,0,4,4,343,,,2,2,8,0,4,2,0,0,alluvial,4C,4C,1all,C,4,4C,6,,,,,,,,,2,,,,,,,,,,,
7934,AU2011,21.2,21,C,bsq21b26,45.725717,75.21635,,,,4,2,346,,,,,na,na,0,na,na,0,alluvial,24C,24C,3all,C,24,24C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.1,21,C,bsq21b27,45.72445,75.2119,,,,4,2,342,,,,,na,na,0,na,na,0,alluvial,34C,34C,2all,C,34,34C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.2,21,C,bsq21b28,45.725317,75.216233,0,0,0,4,4,349,,,1,,0,0,1,0,0,0,alluvial,24C,24C,3all,C,24,24C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.3,21,C,bsq21b29,45.723617,75.212517,,,,3,2,341,,,,,na,na,0,na,na,0,alluvial,4C,4C,1all,C,4,4C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.1,21,C,bsq21b3,45.725367,75.21015,0,0,0,4,3,344,,,1,,2,0,1,2,0,1,alluvial,34C,34C,2all,C,34,34C,2,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.4,21,C,bsq21b30,45.723267,75.213433,0,0,0,3,4,344,,,2,,0,0,2,0,0,0,alluvial,34C,34C,2all,C,34,34C,,,,,,,,,,,,,,,,,,,,,
7934,AU2011,21.2,21,C,bsq21b31,45.72455,75.215283,0,0,0,4,4,345,,,1,,0,0,1,0,0,0,alluvial,124C,124C,5all,C,124,124C,,,,,,,,,,,,,,,,,,,,,
